UserID,Group,,pupilDiameter,plr,tepr
108,modelID,0,4.7625523,3.8965993,0.86595315
108,modelID,1,4.744976,3.9449172,0.8000585
108,modelID,2,4.770221,3.8776379,0.89258313
108,modelID,3,4.598748,3.8388758,0.7598725
108,methodID,0,4.828458,3.8990138,0.9294443
108,methodID,1,4.609791,3.8800015,0.7297894
109,modelID,0,3.3137155,2.8507612,0.46295425
109,modelID,1,3.2449846,2.835794,0.4091907
109,modelID,2,3.32334,2.8513596,0.4719805
109,modelID,3,3.2573655,2.862017,0.39534867
109,methodID,0,3.3108656,2.8832924,0.427573
109,methodID,1,3.2588372,2.8166733,0.44216406
110,modelID,0,3.4899588,2.669705,0.8202539
110,modelID,1,3.6597157,2.8198133,0.8399025
110,modelID,2,3.4483538,2.697815,0.7505388
110,modelID,3,3.586537,2.737393,0.8491436
110,methodID,0,3.5650215,2.7181897,0.84683156
110,methodID,1,3.527261,2.744173,0.78308785
111,modelID,0,3.8227959,2.9162557,0.9065404
111,modelID,1,3.7904282,2.9711912,0.8192369
111,modelID,2,3.6140008,2.8112144,0.802786
111,modelID,3,3.6103954,2.8763106,0.73408467
111,methodID,0,3.563311,2.8522196,0.71109164
111,methodID,1,3.8554988,2.9352665,0.9202323
112,modelID,0,3.8125653,3.1128826,0.6996828
112,modelID,1,3.6987126,3.0407562,0.65795624
112,modelID,2,3.522038,2.987989,0.5340489
112,modelID,3,3.6802096,3.064836,0.6153737
112,modelID,4,3.326434,2.8922498,0.43418413
112,modelID,5,3.6427946,3.024202,0.6185923
112,modelID,6,3.3767154,2.9663186,0.4103967
112,methodID,0,3.4871447,2.994366,0.49277878
112,methodID,1,3.730864,3.0561633,0.6747006
114,modelID,0,3.9924653,3.8500009,0.14246422
114,modelID,1,3.9466572,3.8406134,0.106043994
114,modelID,2,4.0612545,3.8330832,0.22817154
114,modelID,3,3.8905325,3.8611267,0.029406028
114,modelID,4,3.9015346,3.9001884,0.0013460608
114,modelID,5,4.0104656,3.8915915,0.11887428
114,modelID,6,4.099707,3.9005597,0.19914722
114,methodID,0,4.0176463,3.8738005,0.14384568
114,methodID,1,3.9561243,3.8579907,0.09813371
116,modelID,0,3.9926527,3.2799082,0.7127446
116,modelID,1,3.5795069,3.1724837,0.40702343
116,modelID,2,3.641425,3.2078102,0.4336149
116,modelID,3,3.5895436,3.1873379,0.4022055
116,modelID,4,3.5677483,3.1155033,0.4522453
116,modelID,5,3.5890582,3.1722145,0.41684386
116,modelID,6,3.630721,3.167904,0.4628173
116,methodID,0,3.7723923,3.2110147,0.5613778
116,methodID,1,3.6234348,3.184753,0.43868202
117,modelID,0,4.3099313,4.216092,0.093839236
117,modelID,1,4.432084,4.2116513,0.22043285
117,modelID,2,4.2044244,4.187512,0.016912924
117,modelID,3,4.4560323,4.2411366,0.21489546
117,modelID,4,4.4854307,4.2792425,0.20618807
117,modelID,5,4.474351,4.2443786,0.22997239
117,modelID,6,4.624521,4.3153553,0.30916518
117,modelID,7,4.5301995,4.2441015,0.28609785
117,methodID,0,4.4541554,4.232389,0.2217669
117,methodID,1,4.5301995,4.2441015,0.28609785
117,methodID,2,4.406077,4.2495503,0.15652636
118,modelID,0,4.3649654,4.0816674,0.283298
118,modelID,1,4.562827,4.229434,0.33339345
118,modelID,2,4.299082,4.1619844,0.13709797
118,modelID,3,4.6199107,4.194865,0.4250458
118,methodID,0,4.5670195,4.162129,0.4048911
118,methodID,1,4.356373,4.1718464,0.1845265
119,modelID,0,3.266842,3.0667214,0.20012045
119,modelID,1,3.228999,3.1022499,0.12674911
119,modelID,2,3.1690154,3.0252614,0.14375408
119,modelID,3,3.1862605,3.0618615,0.124398805
119,methodID,0,3.1194139,3.03937,0.08004355
119,methodID,1,3.3061447,3.088677,0.21746767
120,modelID,0,3.3395023,2.471609,0.86789334
120,modelID,1,3.1779103,2.4459157,0.73199475
120,modelID,2,3.128819,2.4141374,0.71468186
120,modelID,3,3.034389,2.3865466,0.6478423
120,methodID,0,3.0306737,2.3972888,0.6333851
120,methodID,1,3.3096366,2.4618158,0.84782094
121,modelID,0,3.145821,2.962325,0.18349606
121,modelID,1,3.0981972,2.8991413,0.19905588
121,modelID,2,3.1275768,3.039459,0.08811775
121,modelID,3,3.0918944,2.9810603,0.11083414
121,methodID,0,3.077733,2.9793367,0.098396376
121,methodID,1,3.1540117,2.961656,0.19235554
122,modelID,0,3.9034038,3.3718014,0.5316025
122,modelID,1,4.3145094,3.4653845,0.84912515
122,modelID,2,3.8771338,3.2858126,0.59132135
122,modelID,3,3.9829464,3.3050282,0.67791814
122,modelID,4,4.192981,3.4786885,0.7142923
122,modelID,5,4.203112,3.363723,0.8393893
122,modelID,6,4.097469,3.4359355,0.6615333
122,modelID,7,4.204248,3.392954,0.8112939
122,methodID,0,3.9919329,3.3388991,0.653034
122,methodID,1,4.203112,3.363723,0.8393893
122,methodID,2,4.201653,3.460003,0.7416503
124,modelID,0,3.336183,2.8922925,0.44389078
124,modelID,1,3.24615,2.8838627,0.36228728
124,modelID,2,3.2965856,2.8646946,0.43189102
124,modelID,3,3.1057825,2.8473907,0.25839216
124,methodID,0,3.3192031,2.8849206,0.43428278
124,methodID,1,3.1731474,2.8591995,0.31394786
125,modelID,0,4.1988525,3.829313,0.36953977
125,modelID,1,4.060812,3.8379118,0.22290027
125,modelID,2,4.244687,3.9177074,0.32697964
125,modelID,3,4.193013,3.8637667,0.32924604
125,methodID,0,4.203305,3.8867838,0.31652108
125,methodID,1,4.1453776,3.837566,0.3078118
126,modelID,0,3.002493,2.3595436,0.64294934
126,modelID,1,3.3105674,2.5079894,0.8025782
126,modelID,2,3.3021302,2.4326725,0.86945784
126,modelID,3,3.4994397,2.4691772,1.0302625
126,methodID,0,3.2588665,2.3986983,0.86016834
126,methodID,1,3.2984486,2.4859931,0.81245565
