,id,block,model,method,IPA,creation_method
0,108,0,A,4DoF,0.24284615695956613,unimanual
1,108,0,A,6DoF,0.11478759375686676,bimanual
2,108,0,B,4DoF,0.16253243260814318,unimanual
3,108,0,B,6DoF,0.12446906165886143,bimanual
4,108,0,C,4DoF,0.1363417906903553,unimanual
5,108,0,C,6DoF,0.1681882607651954,bimanual
6,108,0,D,4DoF,0.13358049149400533,unimanual
7,108,0,D,6DoF,0.20286591577296986,bimanual
8,109,1,A,4DoF,0.14179720872194632,bimanual
9,109,1,A,6DoF,0.16255741232244295,unimanual
10,109,1,B,4DoF,0.09538480615422769,bimanual
11,109,1,B,6DoF,0.05312897803223016,unimanual
12,109,1,C,4DoF,0.06595131473945932,bimanual
13,109,1,C,6DoF,0.09594350846221744,unimanual
14,109,1,D,4DoF,0.1889954263106833,bimanual
15,109,1,D,6DoF,0.11960339514171009,unimanual
16,110,2,A,4DoF,0.1808752388375313,unimanual
17,110,2,A,6DoF,0.12634478227635393,bimanual
18,110,2,B,4DoF,0.13135443498546562,unimanual
19,110,2,B,6DoF,0.2766697016494544,bimanual
20,110,2,C,4DoF,0.12624792567644338,unimanual
21,110,2,C,6DoF,0.13978612722534522,bimanual
22,110,2,D,4DoF,0.1384900887259835,unimanual
23,110,2,D,6DoF,0.2124199589793457,bimanual
24,111,3,A,4DoF,0.2417614298210526,bimanual
25,111,3,A,6DoF,0.27855864471934055,unimanual
26,111,3,B,4DoF,0.2533867858791164,bimanual
27,111,3,B,6DoF,0.2554381722547315,unimanual
28,111,3,C,4DoF,0.22069744807540792,bimanual
29,111,3,C,6DoF,0.29740550869353477,unimanual
30,111,3,D,4DoF,0.22952573098207174,bimanual
31,111,3,D,6DoF,0.26053087507978756,unimanual
32,112,0,A,4DoF,0.22606493976238837,unimanual
33,112,0,A,6DoF,0.23931794385999902,bimanual
34,112,0,B,4DoF,0.1077989457263108,unimanual
35,112,0,B,6DoF,0.1511974254567616,bimanual
36,112,0,C,4DoF,0.1699630047193061,unimanual
37,112,0,C,6DoF,0.11163775780347926,bimanual
38,112,0,D,4DoF,0.21388029654503116,unimanual
