Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
108,No,Slight,None,None,None,Slight,None,Slight,None,Slight,None,None,None,None,None,None,None,Path drawing,Felt more like what I would have expected. I liked being able to use only one hand ,Pointing (6 DoF),I felt more in control and I liked being able to fly around ,,,That was really cool!,18 - 24,Male,Male,Right-handed,"Some college, no degree"
109,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Path drawing,"It was more intuitive to use this method, then placing the point with the plane, however, the motions weren't as clean as the ones generated while using the plane.",Pointing (6 DoF),"It felt like I was more in control of where I was going, so I knew what movement would come next and I would be more prepared for it.",Both were fairly easy to understand which made it enjoyable.,None that I can think of at the moment.,Not that I can think of.,18 - 24,Male,Male,Right-handed,"Some college, no degree"
110,Yes,Slight,Slight,None,None,None,Slight,Moderate,Moderate,None,Moderate,None,None,None,Slight,Slight,None,Point placing with plane,It was easier to go back and manipulate the path and the paths it made were smoother in my opinion,Pointing (6 DoF),I could veer off-path if I wanted to and still had a defined path to follow,"Everything was very clean and clear, the tutorials were helpful and making and traversing the paths was very straightforward, the UI looks great","Besides the motion sickness which comes with the territory, not really. ",I think this experience is great for people who have none or lots of experience with VR. The cultural sites were all interesting and with flight I was able to see parts of them I would never be able to see in real life.,18 - 24,Female,Female,Right-handed,"Some college, no degree"
111,No,None,Slight,None,None,None,Slight,Slight,None,None,None,None,None,None,Slight,None,None,Path drawing,It was more intuitive right away and I like drawing on canvases.,Forward/Backward (4 DoF),"It was smoother, made me less nauseous, and felt more like a roller coaster even though the other method felt like trying pilot a mech or equivalent.",The voice guidance at the start.,Long range pointing precision when selecting the bubbles.,,18 - 24,Male,Male,Left-handed,"Some college, no degree"
112,Yes,Slight,None,Slight,Moderate,Slight,None,None,None,None,None,None,Slight,None,None,None,None,Point placing with plane,Placing points and the line automatically drawing between them was nicer than having to draw the whole line. I didn't really like dealing with the plane though.,Pointing (6 DoF),"It felt like I had a little more control over my movement which made it a bit less disorienting, and it was fun trying to follow the path, while with the other option there was no possible way to accidentally get off the path. ","The environments were interesting, so that kept me interested the whole time. 

Moving around by pointing in different directions was also pretty fun. ","When moving around, it felt hard to move slowly without accidentally stopping every once in a while, which definitely sucked for motion sickness. So, I felt like I had to always move at the top speed. 

Sometimes the point placing didn't work how I wanted it to work, and it would sometimes not place a point or just select a nearby point instead.

I didn't like whenever my path was relatively vertical, and so the camera was directly inside the path graphics. Traveling through the arrows right in front of my eyes was not comfortable.

The chord made it feel like I didn't have full range of motion in turning left or right, so sometimes I had to spin the long way instead of the normal way. The fact that the surveys about motion sickness / interface were always behind me instead of in front when I finished was also not great.",,18 - 24,Male,Male,Right-handed,"Some college, no degree"
114,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Path drawing,faster and easier to draw a path,Pointing (6 DoF),More things for me to do,Tutorials at the beginning and the change of landscapes,"At the end of each landscape, I needed to look around for to answer the survey",,18 - 24,Female,Female,Right-handed,High school diploma or GED`
116,No,None,None,None,None,None,Slight,Slight,None,None,None,Slight,None,None,None,None,None,Point placing with plane,I could more specifically create the path to avoid going through walls and structures by creating multiple points instead of just one line.,Pointing (6 DoF),I felt like I had more control and steadiness while following the path. ,"Tutorials before the actual path making and navigation through the paths, background information on landmarks, etc",N/A,It was an enjoyable experience as someone who used VR for the first time!,18 - 24,Female,Female,Right-handed,"Some college, no degree"
117,No,None,None,None,Slight,Slight,None,None,None,Moderate,Moderate,None,None,None,None,None,None,Point placing with plane,It has more control over what path you'd want to make.,Pointing (6 DoF),You have more control over how and where you'd want to move.,"I experienced VR for the first time and it seems very interesting, and I look forward into delving deeper into it after this experience. ",It is a bit hard to get mentally straight immediately for me after using a VR.,,18 - 24,Male,Male,Right-handed,"Some college, no degree"
118,No,None,None,None,Slight,None,None,None,None,None,None,None,None,None,None,Moderate,None,Path drawing,"It was super intuitive to draw between points, I will say the only downside was the eraser tool, it was kind of finnicky.",Pointing (6 DoF),Felt like I was flying. The first one feels more like a roller coaster and you have less control over how fast you go or where you go which felt a little weird. The pointing mechanic felt super natural.,Everything was very polished and I had an easy time figuring out how things worked. Beyond a slight learning curve in the beginning everything came super naturally.,Eraser tool for the path drawing wasn't great (maybe I wasn't using it correctly) ,I would say I am sensitive to things like motion or even simulated motion like this but I didn't feel overwhelmed except for during one specific point of the navigation portion I started going backwards when I wasn't prepared for it and it made me feel a little funky but overall it was super awesome!,18 - 24,Male,Male,Left-handed,"Some college, no degree"
119,No,Moderate,Slight,Slight,None,None,Slight,None,None,None,None,None,None,None,None,None,None,Path drawing,It's more intuitive and it was faster,Pointing (6 DoF),I had more control and I could go different directions and it was just a bit more fun but the Forward/Backward method was way easier,they were both very intuitive ,Sharp turns felt a bit difficult to navigate with the pointing method. ,nope!,18 - 24,Male,Male,Right-handed,"Some college, no degree"
120,No,Slight,None,None,None,None,None,Moderate,Slight,None,None,None,None,None,None,Moderate,Slight,Point placing with plane,"It was hard to draw a straight line, so point placing was easier.",Forward/Backward (4 DoF),"Because it felt like I was riding a rollercoaster, whereas the other one just felt uncomfortable because of messed up depth perception.",The forward/backward was fun and easy to use.,"The color of the path and the feet were the same, I would change it so that the they're different. It could also be helpful if the color of the feet darkened a little when you're below the path.",I don't want to fly.,18 - 24,Female,Female,Right-handed,"Some college, no degree"
121,No,Slight,None,None,None,None,None,None,None,None,None,None,Slight,None,None,None,None,Point placing with plane,"I didn't have to hold down the trigger and drag my arm everywhere, the drawing did feel more fun/involved though",Forward/Backward (4 DoF),Way easier to navigate because I only had to worry about going forward and backward ,The use of the joystick to go forward and backward was easy and felt familiar to other games. It was also nice that the speed wasn't too fast otherwise I definitely would have felt more uncomfortable. ,Sometimes the black arrows were all wonky and a little hard to follow. Maybe a solid line would have been more intuitive. ,Very fun!,18 - 24,Male,Male,Right-handed,High school diploma or GED`
122,Yes,Moderate,Moderate,None,Slight,Slight,Slight,Slight,Slight,Slight,None,Slight,Moderate,Moderate,Moderate,Slight,None,Path drawing,This method just felt simpler. I had a hard time using the plane although the point placing with plane potentially might produce better paths.,Pointing (6 DoF),This method made me feel less dizzy for some reason. I think possibly I just felt more in control.,It was a cool experience and overall everything was pretty easy to grasp once you actually got going.,I would just say general feeling of discomfort. I should clarify this is probably better if you use a VR headset frequently. I however don't use one and I have a terrible sense of balance so I sort of felt like I was gonna fall a lot.,NA,18 - 24,Male,Male,Right-handed,Bachelor's degree
123,No,None,Slight,None,None,None,None,Slight,None,None,None,None,None,None,None,None,None,Path drawing,Easier to use and felt more natural,Forward/Backward (4 DoF),Was able to focus on the surrounding area rather than focusing on keeping my pointer in the direction I wanted,The simulation was nice and the scenery was colorful,None that I could think of,"I felt more of the ""jelly legs"" sensation with the forward/backward path traveling, however, after the first two paths I quickly adapted to it. ",35 - 44,Male,Male,Right-handed,Associate's degree
124,Yes,Moderate,Moderate,Moderate,Moderate,Slight,None,Moderate,None,Slight,Slight,Slight,Slight,None,None,None,None,Path drawing,It was the most straight-forward method. Though the Pointing with plane was a little more fun.,Forward/Backward (4 DoF),"Because the other method made me feel a little bit more motion sick, and it felt harder to control.",I liked the responsiveness of the button/ trigger presses. I think the sound response played into this. ,"Some of the paths I drew had steep and or jarring turns and that made the experience a little jarring. Also, I suffer from migraines from time to time, and they usually come on with an ""Aura"". Some of the ways that the arrows rendered in the navigation parts reminded me of these aura, and that made me anxious at times. ",Taking part in this felt really cool. This may be because I don't have too much experience with headset VR - not sure. ,18 - 24,Male,Male,Left-handed,"Some college, no degree"
125,No,None,None,None,None,None,None,Moderate,None,None,None,None,None,None,None,None,None,Point placing with plane,It was more intuitive and made the paths a lot more efficient. Drawing the path was less efficient because I was shaking and thus it had less precision.,Forward/Backward (4 DoF),"It allowed me to focus more on the environment rather than on the path, this let me enjoy the experience more.",,,,18 - 24,Male,Prefer not to specify,Right-handed,"Some college, no degree"
126,No,Slight,None,Slight,Moderate,None,None,Slight,Slight,None,None,None,None,None,None,None,None,Path drawing,"It felt like I could be more precise in where the path went, specifically when it came to turns.",Forward/Backward (4 DoF),Being able to control the angle and direction of movement was a bit disorienting. The forward/backward was simpler.,The tutorial parts of both the path making and navigating sections were helpful. The scenes were interesting and the terrain made making a path fun.,"By the second half of the navigating, I started getting kind of nauseated.",n/a,18 - 24,Female,Female,Right-handed,"Some college, no degree"
127,No,None,Slight,None,Slight,None,None,Slight,None,None,None,None,None,Slight,None,None,None,Point placing with plane,I think it is more intuitive to change the path with points than drawing it. Especially if it is not allowed to erase midpoints and change paths.,Pointing (6 DoF),"Although forward and backwards does feel easier to use, it is not as dynamic as pointing and steering the direction myself. ","Both methods are relatively to use after a few attempts to get used to. The instructions were somewhat clear, especially the forward/backward method.","For the pointing method, the instructions made sense, but I find it way easier once I realized it is basically like a plane/helicopter control. For the forward/backward method, the viewpoint were slightly to the upper left of the actual path, making it a little distracting as I bump into walls that I did not draw through.","Overall, the experience was not too uncomfortable. I don't think I would have fully understood the instructions without someone explaining as I do it, but I can't place why. ",18 - 24,Male,Male,Right-handed,Bachelor's degree
128,No,None,Slight,Slight,Slight,None,None,None,None,None,Slight,None,Slight,None,None,None,None,Path drawing,cleaner lines and path,Pointing (6 DoF),more immersive ,"Very hands on, made me feel like I was part of the process.","Feel slightly on edge, light headed, and nauseous after using the headset for the last 30 minutes. ",NA,18 - 24,Male,Male,Cross-handed or ambidextrous,Bachelor's degree
