id,block,model,method,trial_id,task_trial_id,luminance,pupilDiameter,pupil_lum_base,adj_pupil,total_time,target_source,creation_method,IPA,discomfort,seq
108,0,A,4DoF,3.0,3.0,0.2243562489748001,4.866457939147949,3.8315773010253906,1.0348811149597168,37.0822,1,unimanual,0.24284615695956613,2,0
108,0,A,6DoF,1.0,5.0,0.22551143169403076,4.359482765197754,3.82914662361145,0.5303362011909485,61.0043,2,bimanual,0.11478759375686676,1,0
108,0,B,4DoF,2.0,2.0,0.24223928153514862,4.650882720947266,3.771303176879883,0.8795796632766724,67.7005,1,unimanual,0.16253243260814318,1,0
108,0,B,6DoF,3.0,7.0,0.256184846162796,4.437137126922607,3.7466788291931152,0.6904584169387817,96.4316,2,bimanual,0.12446906165886143,1,0
108,0,C,4DoF,0.0,0.0,0.22350488603115082,4.658904075622559,3.852900266647339,0.8060040473937988,88.0356,1,unimanual,0.1363417906903553,1,1
108,0,C,6DoF,2.0,6.0,0.20634740591049194,4.892882823944092,3.900495767593384,0.9923869967460632,65.4248,2,bimanual,0.1681882607651954,2,0
108,0,D,4DoF,1.0,1.0,0.19597695767879486,5.205173015594482,3.936819314956665,1.2683532238006592,97.341,1,unimanual,0.13358049149400533,2,1
108,0,D,6DoF,0.0,4.0,0.22378265857696533,4.837308406829834,3.8289482593536377,1.008360505104065,69.0327,2,bimanual,0.20286591577296986,1,0
109,1,A,4DoF,0.0,4.0,0.24427944421768188,3.273621082305908,2.8609535694122314,0.4126676917076111,29.7078,1,bimanual,0.14179720872194632,0,0
109,1,A,6DoF,1.0,1.0,0.24046878516674042,3.1067075729370117,2.864626407623291,0.2420806884765625,67.6885,2,unimanual,0.16255741232244295,0,0
109,1,B,4DoF,1.0,5.0,0.22736352682113647,3.1282427310943604,2.89433217048645,0.2339106947183609,41.9572,1,bimanual,0.09538480615422769,0,0
109,1,B,6DoF,3.0,3.0,0.2411663681268692,3.1910502910614014,2.8686747550964355,0.32237571477890015,94.1328,2,unimanual,0.05312897803223016,0,0
